R1100-F.Cu.gbr        Front (Top) layer copper
R1100-In1.Cu.gbr      Inner 1 layer copper
R1100-In2.Cu.gbr      Inner 2 layer copper
R1100-F.Adhes.gbr     Front (Top) layer adhesive
R1100-B.Cu.gbr        Back (Bottom) layer copper
R1100-F.Paste.gbr     Front (Top) Solder Paste
R1100-B.Paste.gbr     Back (Bottom) Solder Paste
R1100-B.SilkS.gbr     Back (Bottom) Silk Screen
R1100-F.SilkS.gbr     Front (Top) Silk Screen
R1100-F.Mask.gbr      Front (Top) Solder Mask
R1100-B.Mask.gbr      Back (Bottom) Solder Mask
R1100-Edge.Cuts.gbr   Edge Cut (routing cut)
R1100-NPTH.drl        Non-Plated through hole drills
R1100.drl             Plated through hole drills
R1100-top.pos         Front (Top) component position file (SMT assembly)
R1100-bot.pos         Back (Bottom) component position file (SMT assembly)
